id_accidente,fecha,d_a,gravedad,peaton,automovil,campaero,camioneta,micro,buseta,bus,camion,volqueta,moto,bicicleta,otro,via_1,barrio,entidad,id_comuna,nombrecomuna,propietario_de_veh_culo,diurnio_nocturno,hora_restriccion_moto
564,2012-02-21 18:30:00,Martes,Con Heridos,1,1,0,0,0,0,0,0,0,0,0,0,CALLE,Universidad,AGENTES DTB,C03, SAN FRANCISCO,Particular,Nocturno,No aplica
565,2012-02-21 09:55:00,Martes,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,AVENIDA BUCAROS,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Particular,Diurno,No aplica
566,2012-02-21 21:45:00,Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Bosque norte,AGENTES DTB,C02, NORORIENTAL,Particular,Nocturno,No aplica
567,2012-02-21 13:00:00,Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Centro,AGENTES DTB,C15, CENTRO,Particular,Diurno,No aplica
568,2012-02-22 06:50:00,Miercoles,Con Heridos,1,1,0,0,0,0,0,0,0,0,0,0,CALLE,La Feria,AGENTES DTB,C04, OCCIDENTAL,Particular,Diurno,No aplica
569,2012-02-22 10:50:00,Miercoles,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Provenza,AGENTES DTB,C10, PROVENZA,Particular,Diurno,Sin restricción
570,2012-02-22 14:00:00,Miercoles,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,CARRERA,LA CANTERA-EL CERRO,AGENTES DTB,C07, LA CIUDADELA,Particular,Diurno,No aplica
571,2012-02-22 16:00:00,Miercoles,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Rio de Oro I,AGENTES DTB,C04, OCCIDENTAL,Particular,Diurno,Sin restricción
572,2012-02-22 11:30:00,Miercoles,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,La Concordia,AGENTES DTB,C06, LA CONCORDIA,Empresa,Diurno,No aplica
573,2012-02-22 10:15:00,Miercoles,Con Heridos,0,0,0,1,0,0,0,0,0,1,0,0,CALLE,Modelo,AGENTES DTB,C03, SAN FRANCISCO,Particular,Diurno,Sin restricción
